NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
PAPILA,053OS.png,0.8307012261943221,0.9853713663317816,0.9080362962630518,0,0,0,0,0,0
PAPILA,055OD.png,0.49580905121843327,0.48559778182881386,0.4907034165236236,0,0,0,0,0,0
PAPILA,055OS.png,0.49449066092785215,0.4974252412980776,0.49595795111296487,0,0,0,0,0,0
PAPILA,056OD.png,0.8267552393266122,0.9337896164529035,0.8802724278897578,0,0,0,0,0,0
PAPILA,056OS.png,0.4993965504071375,0.4903075529147337,0.4948520516609356,0,0,0,0,0,0
PAPILA,057OD.png,0.9010061386258766,0.9806747062872594,0.9408404224565681,0,0,0,0,0,0
PAPILA,057OS.png,0.8556578989009844,0.9728664692451887,0.9142621840730866,0,0,0,0,0,0
PAPILA,062OD.png,0.8135522929983307,0.8557450840383578,0.8346486885183442,0,0,0,0,0,0
PAPILA,062OS.png,0.7568868889650784,0.9163848469284193,0.8366358679467488,0,0,0,0,0,0
PAPILA,064OD.png,0.4964724412473709,0.49176510732018464,0.49411877428377776,0,0,0,0,0,0
PAPILA,064OS.png,0.8092682312517334,0.9045846199354436,0.8569264255935884,0,0,0,0,0,0
PAPILA,065OD.png,0.8647001188161106,0.9414066821824132,0.9030534004992619,0,0,0,0,0,0
PAPILA,065OS.png,0.965145159885285,0.9594903439521671,0.962317751918726,0,0,0,0,0,0
PAPILA,066OD.png,0.5793497447139877,0.9727350062079696,0.7760423754609787,0,0,0,0,0,0
PAPILA,066OS.png,0.7930932184787084,0.9735652649681424,0.8833292417234254,0,0,0,0,0,0
PAPILA,067OD.png,0.8005798691991801,0.9852469741779784,0.8929134216885792,0,0,0,0,0,0
PAPILA,067OS.png,0.8043505331737729,0.9786073709962352,0.891478952085004,0,0,0,0,0,0
PAPILA,068OD.png,0.8473478981384182,0.954847863946535,0.9010978810424766,0,0,0,0,0,0
PAPILA,068OS.png,0.4988510493494378,0.5461364355579248,0.5224937424536813,0,0,0,0,0,0
PAPILA,069OD.png,0.4997500124039647,0.5035146685656282,0.5016323404847964,0,0,0,0,0,0
PAPILA,069OS.png,0.4998015570141963,0.4918340722246023,0.49581781461939933,0,0,0,0,0,0
PAPILA,072OD.png,0.8498071060504808,0.9620867224523879,0.9059469142514344,0,0,0,0,0,0
PAPILA,072OS.png,0.9104498927036129,0.9643302811057417,0.9373900869046773,0,0,0,0,0,0
PAPILA,073OD.png,0.6296728199464869,0.9672521319522627,0.7984624759493748,0,0,0,0,0,0
PAPILA,073OS.png,0.6796013957794419,0.9794635065181121,0.8295324511487769,0,0,0,0,0,0
PAPILA,074OD.png,0.7035408760513011,0.7721278336078135,0.7378343548295573,0,0,0,0,0,0
PAPILA,074OS.png,0.9673280144548078,0.9462951285843233,0.9568115715195655,0,0,0,0,0,0
PAPILA,077OD.png,0.8445634878069621,0.972663838754356,0.9086136632806591,0,0,0,0,0,0
PAPILA,077OS.png,0.5613308804480059,0.9621579251055359,0.7617444027767709,0,0,0,0,0,0
PAPILA,079OD.png,0.8757986434083671,0.931585542012883,0.9036920927106251,0,0,0,0,0,0
PAPILA,079OS.png,0.7362149342868197,0.9536253834467837,0.8449201588668017,0,0,0,0,0,0
PAPILA,081OD.png,0.9679359196960671,0.9860010408372246,0.9769684802666458,0,0,0,0,0,0
PAPILA,081OS.png,0.9705874393230585,0.9831460692665194,0.9768667542947889,0,0,0,0,0,0
