dataset,NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
ORIGA,032.png,0.9038718788618861,0.9744871393211352,0.9391795090915107,0,0,0,0,0,0
ORIGA,033.png,0.8967003546196166,0.9550698511183737,0.9258851028689952,0,0,0,0,0,0
ORIGA,034.png,0.9067046693176726,0.9793236421361355,0.9430141557269041,0,0,0,0,0,0
ORIGA,035.png,0.8429227342041417,0.9717049868068474,0.9073138605054945,0,0,0,0,0,0
ORIGA,036.png,0.9211045479477427,0.9756247918399108,0.9483646698938267,0,0,0,0,0,0
ORIGA,037.png,0.9156575782295164,0.9800365837700722,0.9478470809997943,0,0,0,0,0,0
ORIGA,038.png,0.9363822622170026,0.955141631075596,0.9457619466462993,0,0,0,0,0,0
ORIGA,039.png,0.9637572385218836,0.9569972254564196,0.9603772319891516,0,0,0,0,0,0
ORIGA,040.png,0.8577953287097597,0.9079613972414353,0.8828783629755975,0,0,0,0,0,0
ORIGA,041.png,0.9110781484612094,0.974184917325573,0.9426315328933912,0,0,0,0,0,0
ORIGA,042.png,0.8151489252279718,0.9417284062758333,0.8784386657519025,0,0,0,0,0,0
ORIGA,043.png,0.9133699911606947,0.9847762576164133,0.949073124388554,0,0,0,0,0,0
ORIGA,044.png,0.9543509298743534,0.9781816260799652,0.9662662779771594,0,0,0,0,0,0
ORIGA,045.png,0.8892122412963821,0.97624075997174,0.932726500634061,0,0,0,0,0,0
ORIGA,046.png,0.9083710440180832,0.9727190493580367,0.9405450466880599,0,0,0,0,0,0
ORIGA,047.png,0.9356956496500555,0.9582538295961149,0.9469747396230852,0,0,0,0,0,0
ORIGA,048.png,0.9219246942061716,0.9703753678274913,0.9461500310168315,0,0,0,0,0,0
ORIGA,049.png,0.9047432508046975,0.9745105362426882,0.9396268935236929,0,0,0,0,0,0
ORIGA,050.png,0.9373022613497277,0.9608328388580838,0.9490675501039058,0,0,0,0,0,0
ORIGA,051.png,0.9778390565193628,0.9674493313483213,0.972644193933842,0,0,0,0,0,0
ORIGA,052.png,0.9264390005828685,0.9801636449108762,0.9533013227468723,0,0,0,0,0,0
ORIGA,053.png,0.8599699426459699,0.9791498876484032,0.9195599151471865,0,0,0,0,0,0
ORIGA,054.png,0.9106679175472192,0.9711488634428631,0.9409083904950412,0,0,0,0,0,0
ORIGA,055.png,0.905143300669343,0.9819045818680507,0.9435239412686969,0,0,0,0,0,0
