NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
RIM_ONE_R3,018.png,0.9260467152297205,0.9435131827575678,0.9347799489936441,0,0,0,0,0,0
RIM_ONE_R3,019.png,0.8116150900764384,0.960401464364028,0.8860082772202331,0,0,0,0,0,0
RIM_ONE_R3,020.png,0.9530476368559206,0.9286250713163335,0.9408363540861271,0,0,0,0,0,0
RIM_ONE_R3,021.png,0.844267982425934,0.9429594977862379,0.893613740106086,0,0,0,0,0,0
RIM_ONE_R3,022.png,0.9571267422411297,0.9355291755145493,0.9463279588778395,0,0,0,0,0,0
RIM_ONE_R3,023.png,0.8463914349788146,0.9625046910437047,0.9044480630112597,0,0,0,0,0,0
RIM_ONE_R3,024.png,0.9331215872740448,0.964818695603822,0.9489701414389334,0,0,0,0,0,0
RIM_ONE_R3,025.png,0.7062958747589285,0.895369365212503,0.8008326199857158,0,0,0,0,0,0
RIM_ONE_R3,026.png,0.8877630340934223,0.9649814197108615,0.9263722269021419,0,0,0,0,0,0
RIM_ONE_R3,027.png,0.8606032085322258,0.9459737845305877,0.9032884965314067,0,0,0,0,0,0
RIM_ONE_R3,028.png,0.8826055453813023,0.9563322200655135,0.9194688827234079,0,0,0,0,0,0
RIM_ONE_R3,029.png,0.6022841530708523,0.659338068012968,0.6308111105419101,0,0,0,0,0,0
RIM_ONE_R3,030.png,0.7351673615340829,0.9608839085832808,0.8480256350586819,0,0,0,0,0,0
RIM_ONE_R3,031.png,0.952196957497087,0.9660824461348152,0.9591397018159511,0,0,0,0,0,0
RIM_ONE_R3,032.png,0.8743219704590414,0.9434565553974599,0.9088892629282506,0,0,0,0,0,0
RIM_ONE_R3,033.png,0.969332321724474,0.9587719752111307,0.9640521484678024,0,0,0,0,0,0
RIM_ONE_R3,034.png,0.8761743458939275,0.9175407289751023,0.8968575374345149,0,0,0,0,0,0
RIM_ONE_R3,035.png,0.4992100653152766,0.4937066772762476,0.4964583712957621,0,0,0,0,0,0
RIM_ONE_R3,036.png,0.974116887828862,0.966424943008283,0.9702709154185725,0,0,0,0,0,0
RIM_ONE_R3,037.png,0.7095599337741165,0.917668834870447,0.8136143843222818,0,0,0,0,0,0
RIM_ONE_R3,038.png,0.6553394886405689,0.6114695658137719,0.6334045272271704,0,0,0,0,0,0
RIM_ONE_R3,039.png,0.9338647195707043,0.958780652935572,0.9463226862531382,0,0,0,0,0,0
RIM_ONE_R3,040.png,0.6398253982605412,0.6571424844530798,0.6484839413568104,0,0,0,0,0,0
RIM_ONE_R3,041.png,0.9423090368287157,0.9587586306163214,0.9505338337225185,0,0,0,0,0,0
RIM_ONE_R3,042.png,0.9278781182457267,0.9534210515921648,0.9406495849189458,0,0,0,0,0,0
RIM_ONE_R3,043.png,0.9463805094922442,0.9526174146397092,0.9494989620659766,0,0,0,0,0,0
RIM_ONE_R3,044.png,0.9490597660950664,0.9496342651218278,0.9493470156084471,0,0,0,0,0,0
RIM_ONE_R3,045.png,0.8784420227799645,0.9017105272050812,0.8900762749925228,0,0,0,0,0,0
RIM_ONE_R3,046.png,0.7432536351725578,0.8905985156826577,0.8169260754276078,0,0,0,0,0,0
RIM_ONE_R3,047.png,0.6545044461263545,0.8356484028521086,0.7450764244892316,0,0,0,0,0,0
RIM_ONE_R3,048.png,0.7398435470691394,0.9331586328127699,0.8365010899409546,0,0,0,0,0,0
RIM_ONE_R3,049.png,0.8663290601419154,0.9529212589723209,0.9096251595571181,0,0,0,0,0,0
RIM_ONE_R3,050.png,0.9299728222335473,0.9601734548673262,0.9450731385504367,0,0,0,0,0,0
RIM_ONE_R3,051.png,0.8783470593897991,0.9289774640642866,0.9036622617270429,0,0,0,0,0,0
RIM_ONE_R3,052.png,0.9336013062345825,0.9524487957716278,0.9430250510031051,0,0,0,0,0,0
RIM_ONE_R3,053.png,0.9417383024817756,0.9646656736484903,0.953201988065133,0,0,0,0,0,0
